,country,country_serial,metric,unit,sector,sub_sector,sub_sub_sector,source_link,source,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Algeria,1,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,98.6,98.6,98.6,98.6,98.6,98.6,98.7,98.7,99.3,98.8,98.9,99.0,98.8,99.2,99.3,99.4,99.4,99.5,99.6,99.5,99.7,99.8,100.0
1,Angola,2,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,24.2,20.0,26.3,27.4,28.4,29.4,30.5,37.5,38.5,33.8,35.0,34.6,37.3,38.4,32.0,42.0,41.8,42.9,45.3,45.6,47.0,48.2,48.5
2,Benin,3,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,21.5,21.9,23.4,24.3,25.2,26.1,27.9,28.0,29.0,30.0,34.2,36.9,38.4,34.7,34.1,29.6,37.0,34.5,39.0,40.0,41.0,42.0,56.5
3,Botswana,4,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,26.5,24.8,27.0,33.1,35.3,37.5,39.7,41.9,44.5,43.4,52.0,53.2,56.0,58.0,60.0,62.1,64.2,67.4,68.3,70.1,71.8,73.7,75.9
4,Burkina Faso,5,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,9.1,9.5,9.9,11.4,10.7,11.1,11.6,12.0,12.5,12.6,13.1,14.8,15.1,15.4,19.2,16.2,16.6,17.0,14.4,17.6,18.5,19.0,19.5
5,Burundi,6,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,2.5,2.8,3.1,3.4,3.7,3.2,2.7,4.7,4.8,5.4,5.3,6.2,6.5,6.9,7.0,7.9,8.5,9.3,9.5,9.8,9.1,10.2,10.3
6,Cameroon,7,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,41.0,46.2,44.0,45.1,47.1,47.2,49.0,48.2,50.6,51.7,52.8,53.7,55.2,56.3,56.8,58.6,59.8,60.9,62.2,63.2,64.3,65.4,71.0
7,Cape Verde,8,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,58.6,60.3,58.6,63.7,65.4,67.0,68.8,70.5,72.3,74.1,81.1,82.3,83.2,84.3,85.3,86.4,87.5,88.6,90.2,91.4,93.7,95.5,97.1
8,Central African Republic,9,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.0,5.7,6.1,6.6,7.0,7.4,7.8,8.4,7.5,9.4,9.8,10.4,11.0,11.5,12.0,12.7,13.4,14.1,14.6,14.3,15.4,15.7,15.7
9,Chad,10,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,3.1,3.4,3.8,4.1,3.5,4.8,5.1,5.5,5.9,6.3,6.4,9.0,7.8,8.1,8.4,7.7,9.2,10.9,10.1,8.4,10.9,11.3,11.7
10,Comoros,11,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,39.8,42.0,44.8,46.5,48.7,51.0,53.2,55.5,57.8,60.1,69.7,69.3,69.3,69.4,71.8,74.1,76.4,78.7,81.0,83.3,85.6,87.9,89.9
11,Congo Democratic Republic,12,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,6.7,7.1,7.7,8.3,9.0,6.0,10.2,15.2,11.6,12.3,13.0,13.7,15.4,15.2,13.5,16.6,17.3,18.0,18.7,19.1,20.1,20.8,21.5
12,Congo Republic,13,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,29.4,30.3,31.2,32.1,33.0,33.8,34.9,35.8,36.8,37.1,40.0,40.8,41.6,42.5,43.4,44.3,45.3,46.2,47.0,47.7,48.7,49.7,50.6
13,Cote d'Ivoire,14,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,48.7,49.7,51.4,51.5,52.4,58.9,60.2,55.3,60.3,57.3,58.4,55.8,55.8,61.5,61.9,62.6,64.3,65.6,67.1,68.6,69.9,71.1,70.4
14,Djibouti,15,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,56.0,56.1,49.7,56.4,56.6,56.8,55.5,57.2,57.4,57.6,57.9,58.1,54.6,58.6,58.9,59.1,59.8,60.2,62.4,64.7,64.5,65.4,65.0
15,Egypt,16,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,97.7,97.4,97.5,98.8,97.8,99.4,99.0,98.4,99.8,98.9,99.4,99.4,99.7,99.9,99.8,99.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0
16,Equatorial Guinea,17,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,64.8,64.9,64.9,64.9,64.9,65.0,65.1,65.1,65.2,65.4,66.1,66.1,65.7,65.9,66.0,66.1,66.2,66.4,66.5,66.6,66.7,66.8,67.0
17,Eritrea,18,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,29.3,30.3,32.2,32.4,33.4,34.5,35.6,36.7,37.8,38.9,40.1,41.2,42.3,43.5,44.6,45.8,46.9,48.0,49.1,50.3,51.4,52.5,55.4
18,Eswatini,19,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,20.4,26.9,25.9,28.7,31.4,34.2,35.2,39.8,42.6,38.6,45.6,51.2,54.3,57.5,65.0,64.1,63.4,73.5,74.0,77.0,80.0,82.9,82.3
19,Ethiopia,20,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,12.7,10.2,11.9,13.5,15.2,14.0,18.6,20.3,22.0,23.7,25.5,23.0,29.0,30.8,27.2,29.0,42.9,44.3,44.8,48.0,51.1,54.2,55.0
20,Gabon,21,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,73.6,77.2,77.8,78.5,79.2,81.6,80.5,81.3,82.0,82.7,89.3,88.7,89.3,86.4,87.1,87.3,88.1,86.3,89.6,90.3,91.1,91.8,93.5
21,Gambia,22,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,34.3,29.9,31.5,27.8,34.8,30.5,38.1,39.8,41.5,43.2,46.8,48.3,49.9,51.5,53.0,54.7,56.4,56.2,60.3,62.1,62.2,63.7,65.4
22,Ghana,23,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,43.7,44.8,46.8,48.3,50.8,41.3,55.1,56.9,60.5,61.1,64.2,64.1,56.5,70.7,78.3,74.0,79.3,79.0,80.4,83.5,85.4,86.3,85.1
23,Guinea,24,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,15.2,16.4,17.7,18.9,20.2,20.2,22.8,24.1,25.4,26.7,28.1,29.5,26.2,32.2,33.5,34.9,33.5,35.4,45.0,42.2,44.7,46.8,47.7
24,Guinea Bissau,25,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,5.41,5.94,6.45,6.96,7.47,7.98,14.5,7.9,9.3,4.7,6.0,13.5,14.9,16.3,17.2,20.1,22.9,26.0,28.4,30.9,33.4,35.8,37.4
25,Kenya,26,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,15.2,17.0,18.9,16.0,22.6,24.5,26.4,28.3,30.3,23.0,19.2,36.2,38.1,40.1,36.0,41.6,53.1,55.8,61.2,69.7,71.5,76.5,76.0
26,Lesotho,27,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,4.3,1.3,3.4,5.4,6.8,9.6,9.7,13.9,16.0,17.0,17.0,22.5,20.6,26.9,27.8,31.8,35.1,33.7,47.0,44.6,47.5,50.4,50.0
27,Liberia,28,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,0.01,0.01,0.01,0.01,0.01,0.04,0.24,3.0,1.3,1.9,5.3,4.1,9.3,9.8,9.4,15.2,17.7,24.2,22.8,23.1,27.6,29.8,31.8
28,Libya,29,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,99.8,96.9,95.2,93.5,91.8,90.1,88.4,86.8,85.1,83.5,81.9,80.3,78.7,77.1,75.5,73.8,72.2,70.6,67.0,68.5,69.4,70.2,70.0
29,Madagascar,30,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,12.6,14.8,14.0,20.3,15.3,16.0,16.8,17.5,18.3,17.4,12.3,14.3,18.7,12.9,23.0,23.8,22.9,24.1,36.5,31.0,32.0,35.1,36.1
30,Malawi,31,Population access to electricity-National,% of population,Electricity,Access,Population access to electricity-National (% of population),https://africa-energy-portal.org/database,Africa Energy Portal,4.8,5.2,5.6,6.2,6.9,6.6,3.7,7.4,7.8,8.3,8.7,7.6,7.4,9.0,11.9,10.8,11.0,12.7,18.0,11.2,11.5,14.2,14.0
